date,title,review,rating,author,version,language
2023-11-15 23:17:29,Dennis H,掃描成功後取車卻不能騎，然後馬上原地還車，被污了15元。然後換車，結果還是不能騎，又被污了15元。就這樣浪費30元。。。雖然是小數目，不過積少成多，這家公司應該賺了不少輕鬆錢。當然，我有在APP反應此事，可惜人微言輕沒人鳥我，剛才收到信用卡帳單，果然被白白扣了30元。。。也許是我操作方式不對，不過沒有用到車就扣人家錢，你說這樣合理嗎？,1,Dennis H,,zh-TW
2023-11-05 14:07:11,Artemis JJ,從大學後門借，然後騎到下一個轉角就還20元，還蠻好玩的速度也不會很快，超眾建議真的要14歲以上會比較安全，大人戴帽子的話，建議先摘下來，帽子很容易飛走，使用上老人家可能會有點卡住。 如果可以的話，先幫老人家設定好付費機制，才不會到時沒付款，讓別人騎，走就當冤大頭了。,5,Artemis JJ,5.19.2,zh-TW
2023-11-03 23:56:31,東語,一天到晚更新,1,東語,5.18.1,zh-TW
2023-11-02 20:49:34,king gm,好貴啊，但很好玩。還沒開始騎車就算錢，把人當凱子。,3,king gm,5.19.0,zh-TW
2023-10-31 09:53:58,楊和蒼,南校門什麼時候才要設點？,5,楊和蒼,5.18.1,zh-TW
2023-10-27 13:10:02,老bunnies,app問題一堆，每次都要重新登入，借車還會故障,1,老bunnies,5.18.1,zh-TW
2023-10-24 12:45:49,劉班班,很好嚕,5,劉班班,5.18.1,zh-TW
2023-10-19 17:42:19,安緹,趕路的時候還強迫更新真的是很不友善：（（（（（ （不可能重大項目的更動多到我每次用都需要更新為吧🤩）,1,安緹,5.18.1,zh-TW
2023-10-11 20:28:43,邱郁茹,好好玩，走東海大學，走到崩潰時，感謝有它👍,5,邱郁茹,5.17.0,zh-TW
2023-10-09 15:07:11,羅Alvin,使用簡單，但費用貴了一些，一小時不到67元，比gogoro貴,4,羅Alvin,5.17.0,zh-TW
2023-10-07 12:57:50,詹元綸,不錯,5,詹元綸,5.17.0,zh-TW
2023-10-03 01:02:13,愛德華跑跑,校外人士可以註冊使用？輸入手機一直收不到驗證碼,3,愛德華跑跑,5.17.0,zh-TW
2023-10-02 15:08:12,何昕叡,更新完速度提升有感，轉轉轉的狀況好很多，補星補星,4,何昕叡,5.17.0,zh-TW
2023-10-01 13:13:19,張豐琪,很方便,5,張豐琪,5.17.0,zh-TW
2023-09-26 19:12:06,王傑民,車體一般，速度安全不怕摔車，但系統設計站點同步是真的差...後勤處理也慢且敷衍（雖然台灣大部分都差不多xd)，除了就這系統不知道未來怎麼往外競爭就是,3,王傑民,5.16.2,zh-TW
2023-09-19 17:59:32,王韋鈞,之前一直閃退，留言後官方就回應會處理，一個禮拜就恢復正常了😊,5,王韋鈞,5.16.2,zh-TW
2023-09-16 15:37:19,momo J,方便快速 但費用小高點,5,momo J,5.16.2,zh-TW
2023-09-14 10:28:52,林欣宜,如果臨停時間一樣計費，應該先提醒。,4,林欣宜,5.16.2,zh-TW
2023-09-13 17:38:54,林柏均,車很方便 APP問題很多,2,林柏均,5.16.2,zh-TW
2023-09-13 15:02:05,吳映禧,電動車很棒，但app很爛。 隨便點幾個選項就會發現一堆bug，比我計概作業還糟，用戶設定根本整個不能用。而且為什麼地圖會被切掉啊，新竹的光復路呢？ —————20230519更新———— 至少能用 20230913 最近沒bug，先把星數補回來,4,吳映禧,5.16.2,zh-TW
